aeroporto,grau,ordem_ego,tamanho_ego,densidade_ego
REC,10,11,37,0.6727272727272727
SSA,6,7,21,1.0
FOR,10,11,39,0.7090909090909091
NAT,4,5,8,0.8
JPA,3,4,5,0.8333333333333334
GRU,18,19,70,0.4093567251461988
CGH,2,3,3,1.0
GIG,12,13,44,0.5641025641025641
CNF,6,7,18,0.8571428571428571
VIX,3,4,6,1.0
BSB,15,16,62,0.5166666666666667
GYN,6,7,20,0.9523809523809523
CWB,8,9,28,0.7777777777777778
FLN,4,5,10,1.0
POA,5,6,14,0.9333333333333333
MAO,11,12,45,0.6818181818181818
BEL,8,9,32,0.8888888888888888
PVH,6,7,19,0.9047619047619048
RBR,4,5,10,1.0
THE,5,6,12,0.8
